,HomePlanet,CryoSleep,Destination,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Solo,TotalSpent,NoSpendings,Cabin_deck,Cabin_side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,First_name,Last_name,FamilySize
4278,Europa,False,55 Cancri e,54.0,0.0,559.0,0.0,15238.0,2799.0,True,18596.0,0,C,S,1,0,0,0,0,0,0,Wezna,Baleful,4
5971,Earth,False,TRAPPIST-1e,20.0,0.0,20.0,1.0,696.0,0.0,True,717.0,0,F,P,0,0,0,0,1,0,0,Therek,Hinetthews,7
464,Mars,False,TRAPPIST-1e,43.0,1821.0,0.0,47.0,29.0,0.0,False,1897.0,0,F,S,1,0,0,0,0,0,0,Torms,Fone,10
4475,Earth,False,TRAPPIST-1e,24.0,185.0,0.0,476.0,1810.0,53.0,True,2524.0,0,F,S,0,0,1,0,0,0,0,Tanley,Mirandry,5
8469,Europa,True,55 Cancri e,25.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,C,S,0,1,0,0,0,0,0,Alphah,Cratrave,3
557,Mars,True,TRAPPIST-1e,48.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,1,0,0,0,0,0,0,Graven,Fone,10
3586,Europa,True,55 Cancri e,34.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,E,P,1,0,0,0,0,0,0,Eltard,Dreamspric,2
470,Europa,True,55 Cancri e,18.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,B,S,1,0,0,0,0,0,0,Azharga,Unpasine,6
4757,Mars,False,TRAPPIST-1e,35.0,4608.0,0.0,926.0,382.0,0.0,True,5916.0,0,F,S,0,0,0,1,0,0,0,Gorsp,Biba,2
874,Earth,False,TRAPPIST-1e,24.0,174.0,0.0,0.0,630.0,0.0,False,804.0,0,F,S,1,0,0,0,0,0,0,Earlie,Solinez,5
5504,Earth,False,TRAPPIST-1e,49.0,20.0,0.0,0.0,769.0,0.0,True,789.0,0,E,S,0,1,0,0,0,0,0,Toddie,Nasquez,5
5098,Mars,True,55 Cancri e,17.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,F,P,0,0,0,1,0,0,0,Sug,Dutty,3
1642,Earth,True,PSO J318.5-22,20.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,S,1,0,0,0,0,0,0,Wine,Jarvey,6
2164,Europa,True,TRAPPIST-1e,44.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,D,P,1,0,0,0,0,0,0,Enibah,Pleele,4
4391,Earth,True,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1,G,S,0,0,1,0,0,0,0,Lonna,Cartez,14
5556,Earth,False,TRAPPIST-1e,51.0,152.0,55.0,25.0,74.0,289.0,True,595.0,0,F,P,0,0,0,0,1,0,0,Nelley,Brantuarez,7
8672,Earth,True,PSO J318.5-22,61.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1,G,P,0,0,0,0,0,1,0,Kenny,Mallerez,6
7750,Earth,False,TRAPPIST-1e,19.0,29.0,2633.0,0.0,0.0,124.0,True,2786.0,0,F,S,0,0,0,0,0,1,0,Lavey,Delazarson,6
3269,Earth,False,55 Cancri e,28.0,1.0,0.0,857.0,0.0,0.0,True,858.0,0,F,S,0,0,1,0,0,0,0,Wallyn,Holcompson,6
4083,Europa,False,55 Cancri e,40.0,0.0,17687.0,0.0,425.0,155.0,False,18267.0,0,C,P,1,0,0,0,0,0,0,Strali,Sebleve,3
